SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,WEEKDAY_APPR_PROCESS_START,ORGANIZATION_TYPE,FONDKAPREMONT_MODE,HOUSETYPE_MODE,WALLSMATERIAL_MODE,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,REGION_RATING_CLIENT,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,YEARS_BEGINEXPLUATATION_AVG,ELEVATORS_AVG,FLOORSMAX_AVG,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_8,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
384575,0.0,1.0,1.0,0.0,6.0,1.0,4.0,1.0,1.0,14.0,4.0,5.0,2.0,0.0,4.0,2.0,0.66,-0.08924812,1.5348606,-0.4941845,0.33769092,0.1829219,0.70719445,-0.40829778,10.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.16980723,0.14388001,-2.438697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58256173,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
214010,0.0,0.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,10.0,4.0,5.0,2.0,0.0,2.0,0.0,1.11,1.4261236,1.3304282,-0.64308304,0.13389294,0.029542696,0.52929884,-0.50096935,2.0,0.0,0.0,1.0,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.07524378,-0.51986897,0.8066478,30.8,0.08,0.25,1.9705882,1.0,0.0,0.0,-0.24228396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
142232,0.0,0.0,1.0,0.0,6.0,7.0,4.0,1.0,1.0,14.0,5.0,42.0,2.0,0.0,4.0,0.0,0.61,-0.034402672,0.7861056,0.9080774,-0.29668364,0.2326993,0.36529848,0.6952307,-5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021168241,-0.12648766,-1.492691,0.0,0.0,0.0,0.0,2.5,0.0,0.0,-0.5231481,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
389171,0.0,0.0,0.0,1.0,6.0,4.0,4.0,5.0,1.0,6.0,0.0,5.0,2.0,0.0,4.0,0.0,1.11,-0.48051795,0.001992032,1.4670097,-0.5332324,-2.3342776,-1.2180272,0.03722373,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4715193,0.36090565,6.0,0.16,0.4583,17.588236,0.0,0.0,0.0,-0.95910496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
283617,0.0,1.0,0.0,1.0,6.0,7.0,4.0,3.0,1.0,8.0,6.0,5.0,2.0,0.0,5.0,0.0,-0.39,-0.38131997,-0.500249,0.0,-0.6296959,0.044111695,-0.5108328,1.0701822,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.14881065,-0.019537909,0.46106136,-19.8,0.0,0.0,2.2941177,0.0,0.0,0.0,0.45061728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
362171,0.0,1.0,0.0,1.0,6.0,3.0,4.0,1.0,1.0,8.0,4.0,57.0,2.0,0.0,4.0,0.0,-0.69,-0.66965747,-0.46738046,-0.6550356,-0.46497867,148.30312,-0.7393729,0.8898798,0.0,0.0,1.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17319131,-1.9631909,0.0,0.0,0.0,0.0,1.5,0.0,0.0,-0.19598766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180689,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,8.0,6.0,5.0,2.0,0.0,4.0,1.0,-0.39,0.717477,-0.008466136,-0.19451144,0.0039906427,0.35167947,0.7337051,-0.5498255,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.20799609,-0.066588715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24459876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.5
310328,0.0,1.0,1.0,1.0,6.0,1.0,4.0,3.0,1.0,8.0,0.0,47.0,2.0,0.0,4.0,0.0,-0.0666,0.5503926,0.45468128,-0.0026263602,0.6811614,0.3860785,0.7755736,0.039550215,3.0,1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0457973,-0.2053058,-13.8,0.0,0.0,6.2941175,2.5,0.0,0.0,0.41280866,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
233043,0.0,0.0,0.0,1.0,6.0,3.0,4.0,1.0,1.0,8.0,2.0,57.0,2.0,0.0,4.0,0.0,-0.19,0.49826232,0.5278884,0.21171679,-1.068529,148.30312,0.51960874,-0.5851105,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8056958,0.4458088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58410496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
232220,0.0,0.0,0.0,1.0,6.0,7.0,4.0,2.0,1.0,8.0,6.0,51.0,2.0,0.0,5.0,1.0,-0.54,0.717477,0.6043327,0.40424505,0.9627081,0.22865237,-0.773014,0.7049244,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6436492,0.0,-10.8,0.0,0.0,-6.147059,1.5,0.0,0.0,0.58410496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134561,0.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,1.0,14.0,5.0,42.0,2.0,0.0,4.0,4.0,-0.89,-0.33715957,-0.43301794,-0.6724018,0.34003028,0.3779846,0.18904836,-0.63047695,0.0,1.0,0.0,0.0,1.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.16035365,-0.56650895,0.47625402,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.15354939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
120952,0.0,1.0,1.0,1.0,6.0,1.0,4.0,1.0,5.0,8.0,3.0,5.0,2.0,0.0,4.0,0.0,-0.14,-0.5356558,-0.76518923,0.21171679,1.00633,0.16390125,0.23274523,0.9367972,-7.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41739216,-1.3320614,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1558642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
